Year,Country,Latitude,Longitude,Admin
2019,USA,40.71770335,-74.0050936,1
2019,USA,35.68702945,-79.42341241,1
2019,USA,40.33335856,-82.92353182,1
2019,USA,43.83098828,-120.419986,1
2019,USA,40.87130516,-77.84794944,1
2019,USA,33.86007502,-80.55502899,1
2019,USA,31.63503402,-99.58022531,1
2019,USA,39.12966343,-111.7793824,1
2019,USA,37.37342142,-78.29105588,1
2019,USA,47.3181887,-119.9166764,1
2019,PUERTO RICO,18.25548537,-66.46657199,0
2019,BRAZIL,-20.12984795,-40.3061378,1
2019,BRAZIL,-23.47047437,-47.48283617,2
2019,BRAZIL,-22.01169291,-47.88764625,2
2019,BRAZIL,-17.49915751,-44.54149403,1
2019,BRAZIL,-21.76210689,-41.31340746,2
2019,BRAZIL,-22.54164392,-44.17672486,2
2019,BRAZIL,-3.72822077,-38.52270678,2
2019,BRAZIL,12.29672288,76.64118255,2
2019,BRAZIL,11.58905659,78.68221405,2
2019,MALDIVES,-0.492259983,72.90852864,0
2019,REPUBLIC OF THE CONGO,-4.108611936,13.71608297,1
2019,REPUBLIC OF THE CONGO,-4.765732257,11.86725095,2
2019,REPUBLIC OF THE CONGO,-2.946682685,12.89348955,2
2019,REPUBLIC OF THE CONGO,-3.184141453,12.25401942,2
2019,REPUBLIC OF THE CONGO,-4.264995484,15.23649055,1
2019,REPUBLIC OF THE CONGO,-3.171774907,13.35139248,1
2019,INDONESIA,-6.400130103,106.7939362,2
2019,INDIA,12.12141439,78.15826475,2
2019,INDIA,11.6668399,78.15031185,2
2019,INDIA,10.38417284,78.80317596,2
2019,INDIA,9.363508306,78.84245067,2
2019,INDIA,11.340565,77.7155682,2
2019,INDIA,10.79004395,78.70997028,2
2019,INDIA,9.927811549,78.11870337,2
2019,BRAZIL,-11.7246655,-61.77785679,2
2019,BRAZIL,-22.41811768,-42.95912505,2
2019,BRAZIL,-23.42317426,-51.9304413,2
2019,PERU,-5.179408095,-80.65204382,1
2019,MALAYSIA,6.127546727,100.3747394,1
2019,BRAZIL,16.23935226,-22.77212147,3
2019,MALAYSIA,4.531511472,101.1322689,2
2019,CHINA,22.31074354,114.1757588,1
2019,COLOMBIA,10.69672638,-74.87344367,1
2019,BRAZIL,-9.618030676,-36.45134142,1
2019,BRAZIL,-4.906328111,-45.3147388,1
2019,TAIWAN,23.40922619,121.2139838,0
2019,THAILAND,8.912029216,98.98384355,1
2019,USA,34.39303815,-111.558763,1
2019,USA,19.90989124,-159.2412924,3
2019,USA,34.06396051,-105.8518125,1
2019,USA,41.42152276,-71.30390638,1
2019,USA,44.71511458,-89.52658941,1
2019,USA,42.96235893,-107.7314824,1
2019,INDIA,23.25776033,77.41618955,1
2019,INDIA,15.41128474,79.66016425,2
2019,FRANCE,44.83888615,-0.58051921,1
2019,SPAIN,40.42146887,-3.703570608,1
2019,HONDURAS,14.06143414,-87.16961087,1
2019,HONDURAS,15.49295599,-88.09015938,1
2019,HONDURAS,14.92154525,-88.23788868,1
2019,MYANMAR,19.76363939,96.07939683,1
2020,MYANMAR,25.85732169,97.43279461,1
2021,MYANMAR,12.46939175,99.0165691,3
2016,MEXICO,18.52318514,-95.45398636,1
2016,MEXICO,17.88217386,-99.67011144,1
2016,MEXICO,19.19293809,-101.551739,1
2016,MEXICO,20.25558167,-89.16327757,1
2016,MEXICO,17.88217386,-99.67011144,1
2016,MEXICO,30.33010308,-110.3860368,1
2016,JAMAICA,18.33950507,-77.28835348,1
2016,BOLIVIA,0.500042733,29.45194005,1
2016,BOLIVIA,-17.41435833,-66.15769799,1
2016,BOLIVIA,-17.80190472,-63.17097274,1
2016,PARAGUAY,-23.3624841,-58.15411465,0
2016,INDIA,18.52586674,73.87737797,1
2016,INDIA,14.75474149,75.86491537,1
2016,INDIA,20.39123152,77.63226415,1
2016,INDIA,28.62571407,77.19207493,1
2016,INDIA,23.80435443,85.32498051,1
2016,PUERTO RICO,18.23712065,-66.4457494,0
2016,PANAMA,9.052909654,-79.4950321,1
2016,BRAZIL,-12.07186501,-41.42292776,1
2016,BRAZIL,-8.322639809,-37.71727416,1
2016,BRAZIL,-22.7323081,-47.64793346,2
2016,BRAZIL,-22.73420801,-47.64244029,2
2016,BRAZIL,-23.61574045,-46.66602369,1
2016,BRAZIL,-8.061658744,-37.87108275,1
2016,BRAZIL,-7.843088218,-34.9056581,2
2016,BRAZIL,-8.044670979,-34.88529356,2
2016,NICARAGUA,12.98034813,-84.72345022,0
2016,PERU,-3.55406725,-80.44288388,-999
2016,COSTA RICA,10.38929593,-84.0425287,0
2016,EL SALVADOR,13.80280769,-88.46065466,0
2016,VENEZUELA,7.054740958,-65.59096931,0
2016,ARGENTINA,-24.81352074,-65.40831481,2
2016,US VIRGIN ISLANDS,17.81267534,-64.78325226,0
2016,COSTA RICA,9.976351067,-84.8414476,2
2016,PERU,-11.7016748,-70.71916926,2
2016,COLOMBIA,6.686560284,-73.45407339,1
2016,COLOMBIA,4.901999343,-74.20208915,1
2016,COLOMBIA,2.890423857,-75.21131163,1
2016,COLOMBIA,4.120733063,-75.18794744,1
2016,COLOMBIA,9.403871855,-75.3546137,1
2016,COLOMBIA,10.73887468,-74.87927634,1
2016,COLOMBIA,9.923924247,-75.09442034,1
2016,FRENCH GUIANA,4.632276297,-52.66570503,0
2016,TRINIDAD AND TOBAGO,10.44088986,-61.36616344,0
2016,FIJI,-17.76559274,178.0429516,0
2016,KENYA,3.159521178,42.05774631,1
2016,SOMALIA,3.927119171,41.87579498,-999
2016,PHILIPPINES,14.37874525,120.5812225,-999
2016,PHILIPPINES,10.16482895,124.8439887,2
2016,NEPAL,26.97621712,85.39386205,2
2016,HONG KONG,22.33215815,114.1619969,0
2016,PAKISTAN,25.63654886,68.19558693,1
2015,PUERTO RICO,18.23712065,-66.4457494,0
2015,USA,32.94436421,-86.60645094,1
2015,USA,66.04787432,-152.1456643,1
2015,USA,34.34079759,-111.9190738,1
2015,USA,34.70678181,-92.04348783,1
2015,USA,36.50496801,-119.2100707,1
2015,USA,39.32094084,-105.4712256,1
2015,USA,41.67610304,-72.35155463,1
2015,USA,27.61489015,-81.18069559,1
